date,usdinr,ret_1,ret_5,ret_10,ret_20,vol_5,vol_20,ma_5,ma_20,ma_50,price_ma5_ratio,price_ma20_ratio,ma_ratio,rsi_14,target_logret,fcst_rw,year,ppp_rate,fcst_ppp,india_rate_decimal,usa_rate_decimal,fcst_irp,lgbm_logret,fcst_lgbm,ridge_logret,fcst_ridge,tree_logret,fcst_tree,mlp_logret,fcst_mlp
2020-01-01,71.27580261230469,,,,,,,,,,,,,,-0.0035249462943435983,71.27580261230469,2020,,,0.09466250000000001,0.052825,71.28341274916113,,,,,,,,
2020-01-02,71.0250015258789,-0.0035187409644473755,,,,,,,,,,,,,0.005475994910471391,71.0250015258789,2020,,,0.09466250000000001,0.052825,71.03258488463504,,,,,,,,
2020-01-03,71.41500091552734,0.005491015575780578,,,,,,,,,,,,,0.004415106215942619,71.41500091552734,2020,,,0.09466250000000001,0.052825,71.42262591462453,,,,,,,,
2020-01-06,71.73100280761719,0.004424867157302392,,,,,,,,,,,,,0.0007803865244166705,71.73100280761719,2020,,,0.09466250000000001,0.052825,71.73866154632245,,,,,,,,
2020-01-07,71.78700256347656,0.000780691105205511,,,,,,71.44676208496094,,,1.0047621539253386,,,,0.005182489629449993,71.78700256347656,2020,,,0.09466250000000001,0.052825,71.79466728129101,,,,,,,,
2020-01-08,72.16000366210938,0.005195941957640393,0.012405346799308381,,,0.003843743946368963,,71.62360229492188,,,1.0074891704689577,,,,-0.010421357029442638,72.16000366210938,2020,,,0.09466250000000001,0.052825,72.16770820535271,,,,,,,,
2020-01-09,71.41190338134766,-0.010367242832535206,0.005447403691047903,,,0.006684160166522492,,71.70098266601562,,,0.9959682660694554,,,,-0.003051841475693575,71.41190338134766,2020,,,0.09466250000000001,0.052825,71.41952804972027,,,,,,,,
2020-01-10,71.19429779052734,-0.003047189341226164,-0.0030904308922582446,,,0.0063666371780419255,,71.65684204101562,,,0.9935450092787578,,,,-0.0033950006983115393,71.19429779052734,2020,,,0.09466250000000001,0.052825,71.20189922509176,,,,,,,,
2020-01-13,70.9530029296875,-0.0033892441997223077,-0.010846075580684178,,,0.0057535723931792125,,71.5012420654297,,,0.9923324529769636,,,,-0.003304826796951357,70.9530029296875,2020,,,0.09466250000000001,0.052825,70.96057860113392,,,,,,,,
2020-01-14,70.71890258789062,-0.0032993718677257755,-0.01487873761885361,,,0.005515690506957618,,71.2876220703125,,,0.9920221846948278,,,,0.0017829087296873686,70.71890258789062,2020,,,0.09466250000000001,0.052825,70.7264532643798,,,,,,,,
2020-01-15,70.84510040283203,0.0017844990564519492,-0.01822205089448725,-0.00604275495591966,,0.004336141886300783,,71.02464141845704,,,0.9974721306290418,,,,-0.0017956390500416897,70.84510040283203,2020,,,0.09466250000000001,0.052825,70.85266455349627,,,,,,,,
2020-01-16,70.71800231933594,-0.0017940278547620148,-0.00971688232851331,-0.004322410418127309,,0.002183280725946053,,70.88586120605468,,,0.997631983531514,,,,0.003213250063914501,70.71800231933594,2020,,,0.09466250000000001,0.052825,70.72555289970319,,,,,,,,
